id,Nome,Energia (kcal),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg)
1,Arroz integral cozido,124,2.6,1.0,NA,25.8,2.7,5,"59 "
3,Arroz cozido,128,2.5,0.2,NA,28.1,1.6,4,"2 "
8,Biscoito doce maisena,443,8.1,12.0,NA,75.2,2.1,54,37
9,Biscoito doce recheado com chocolate,472,6.4,19.6,Tr,70.5,3.0,27,48
10,Biscoito doce recheado com morango,471,5.7,19.6,Tr,71.0,1.5,36,27
11,Biscoito doce wafer recheado de chocolate,502,5.6,24.7,Tr,67.5,1.8,23,48
12,Biscoito doce wafer recheado de morango,513,4.5,26.4,1,67.4,0.8,14,19
13,Biscoito salgado cream cracker,432,10.1,14.4,NA,68.7,2.5,20,40
14,Bolo mistura para,419,6.2,6.1,Tr,84.7,1.7,59,28
15,Bolo pronto aipim,324,4.4,12.7,73,47.9,0.7,85,10
16,Bolo pronto chocolate,410,6.2,18.5,77,54.7,1.4,75,28
17,Bolo pronto coco,333,5.7,11.3,63,52.3,1.1,57,16
18,Bolo pronto milho,311,4.8,12.4,82,45.1,0.7,83,10
20,Canjica com leite integral,112,2.4,1.2,1,23.6,1.2,43,6
21,Cereais milho flocos com sal,370,7.3,1.6,NA,80.8,5.3,2,20
22,Cereais milho flocos sem sal,363,6.9,1.2,NA,80.4,1.8,2,17
23,Cereais mingau milho infantil,394,6.4,1.1,NA,87.3,3.2,219,16
24,Cereais mistura para vitamina trigo cevada e aveia,381,8.9,2.1,NA,81.6,5.0,584,72
25,Cereal matinal milho,365,7.2,1.0,NA,83.8,4.1,143,11
26,Cereal matinal milho açúcar,377,4.7,0.7,NA,88.8,2.1,56,8
27,Creme de arroz pó,386,7.0,1.2,NA,83.9,1.1,7,51
28,Creme de milho pó,333,4.8,1.6,NA,86.1,3.7,323,30
29,Curau milho verde,78,2.4,1.6,5,13.9,0.5,53,16
30,Curau milho verde mistura para,402,2.2,13.4,NA,79.8,2.5,31,9
37,Lasanha massa fresca cozida,164,5.8,1.2,NA,32.5,1.6,10,4
39,Macarrão instantâneo,436,8.8,17.2,NA,62.4,5.6,18,19
45,Milho verde enlatado drenado,98,3.2,2.4,NA,17.1,4.6,2,20
46,Mingau tradicional pó,373,0.6,0.4,NA,89.3,0.9,522,4
47,Pamonha barra para cozimento pré-cozida,171,2.6,4.8,NA,30.7,2.4,4,15
48,Pão aveia forma,343,12.4,5.7,Tr,59.6,6.0,109,57
49,Pão de soja,309,11.3,3.6,NA,56.5,5.7,90,48
50,Pão glúten forma,253,12.0,2.7,NA,44.1,2.5,156,24
51,Pão milho forma,292,8.3,3.1,6,56.4,4.3,78,29
52,Pão trigo forma integral,253,9.4,3.7,NA,49.9,6.9,132,60
53,Pão trigo francês,300,8.0,3.1,NA,58.6,2.3,16,25
54,Pão trigo sovado,311,8.4,2.8,17,61.5,2.4,52,22
56,Pastel de carne frito,388,10.1,20.1,25,43.8,1.0,13,14
58,Pastel de queijo frito,422,8.7,22.7,15,48.1,0.9,126,15
60,Pastel massa frita,570,6.0,40.9,NA,49.3,1.3,11,13
61,Pipoca com óleo de soja sem sal,448,9.9,15.9,NA,70.3,14.3,3,91
62,Polenta pré-cozida,103,2.3,0.3,NA,23.3,2.4,1,4
63,Torrada pão francês,377,10.5,3.3,NA,74.6,3.4,19,32
64,Abóbora cabotian cozida,48,1.4,0.7,NA,10.8,2.5,8,9
68,Abóbora moranga refogada,29,0.4,0.8,NA,6.0,1.5,19,7
70,Abobrinha italiana cozida,15,1.1,0.2,NA,3.0,1.6,17,17
72,Abobrinha italiana refogada,24,1.1,0.8,NA,4.2,1.4,21,13
85,Almeirão refogado,65,1.7,4.8,NA,5.7,3.4,63,17
86,Batata baroa cozida,80,0.9,0.2,NA,18.9,1.8,12,8
88,Batata doce cozida,77,0.6,0.1,NA,18.4,2.2,17,11
90,Batata frita tipo chips industrializada,543,5.6,36.6,NA,51.2,2.5,12,24
91,Batata inglesa cozida,52,1.2,Tr,NA,11.9,1.3,4,5
93,Batata inglesa frita,267,5.0,13.1,NA,35.6,8.1,6,14
94,Batata inglesa sauté,68,1.3,0.9,NA,14.1,1.4,4,6
95,Berinjela cozida,19,0.7,0.1,NA,4.5,2.5,11,9
97,Beterraba cozida,32,1.3,0.1,NA,7.2,1.9,15,17
99,Biscoito polvilho doce,438,1.3,12.2,9,80.5,1.2,30,6
100,Brócolis cozido,25,2.1,0.5,NA,4.4,3.4,51,15
102,Cará cozido,78,1.5,0.1,NA,18.9,2.6,5,15
106,Catalonha refogada,63,2.0,4.8,NA,4.8,3.7,63,16
109,Cenoura cozida,30,0.8,0.2,NA,6.7,2.6,26,14
112,Chuchu cozido,19,0.4,Tr,NA,4.8,1.0,8,7
114,Coentro folhas desidratadas,309,20.9,10.4,NA,48.0,37.3,784,393
116,"Couve manteiga refogada ",90,1.7,6.6,NA,8.7,5.7,177,26
118,Couve-flor cozida,19,1.2,0.3,NA,3.9,2.1,16,5
120,Espinafre Nova Zelândia refogado,67,2.7,5.4,NA,4.2,2.5,112,123
122,Farinha de mandioca torrada,365,1.2,0.3,NA,89.2,6.5,76,40
123,Farinha de puba,360,1.6,0.5,NA,87.3,4.2,41,27
124,Fécula de mandioca,331,0.5,0.3,NA,81.1,0.6,12,3
129,Mandioca cozida,125,0.6,0.3,NA,30.1,1.6,19,27
131,Mandioca farofa temperada,406,2.1,9.1,NA,80.3,7.8,66,34
132,Mandioca frita,300,1.4,11.2,NA,50.3,1.9,23,95
136,Nhoque batata cozido,181,5.9,1.9,15,36.8,1.8,11,18
138,Palmito juçara em conserva,23,1.8,0.4,NA,4.3,3.2,58,34
139,Palmito pupunha em conserva,29,2.5,0.5,NA,5.5,2.6,32,25
140,Pão de queijo assado,363,5.1,24.6,68,34.2,0.6,102,8
146,Polvilho doce,351,0.4,Tr,NA,86.8,0.2,27,4
151,Repolho roxo refogado,42,1.8,1.2,NA,7.6,1.8,43,17
154,Seleta de legumes enlatada,57,3.4,0.4,NA,12.7,3.1,16,16
158,Tomate extrato,61,2.4,0.2,NA,15.0,2.8,29,29
159,Tomate molho industrializado,38,1.4,0.9,NA,7.7,3.1,12,17
160,Tomate purê,28,1.4,Tr,NA,6.9,1.0,13,15
161,Tomate salada,21,0.8,Tr,NA,5.1,2.3,7,10
165,Abacaxi polpa congelada,31,0.5,0.1,NA,7.8,0.3,14,10
167,Açaí polpa com xarope de guaraná e glucose,110,0.7,3.7,NA,21.5,1.7,22,13
168,Açaí polpa congelada,58,0.8,3.9,NA,6.2,2.6,35,17
170,Acerola polpa congelada,22,0.6,Tr,NA,5.5,0.7,8,9
171,"Ameixa calda enlatada ",183,0.4,Tr,NA,46.9,0.5,13,10
173,"Ameixa em calda enlatada drenada ",177,1.0,0.3,NA,47.7,4.5,39,14
176,Banana doce em barra,280,2.2,0.1,NA,75.7,3.8,12,49
185,Cajá polpa congelada,26,0.6,0.2,NA,6.4,1.4,9,7
187,Caju polpa congelada,37,0.5,0.2,NA,9.4,0.8,1,7
188,Caju suco concentrado envasado,45,0.4,0.2,NA,10.7,0.6,1,8
193,Cupuaçu polpa congelada,49,0.8,0.6,NA,11.4,1.6,5,14
195,Figo enlatado em calda,184,0.6,0.2,NA,50.3,2.0,33,7
198,Goiaba doce em pasta,269,0.6,0.0,NA,74.1,3.7,10,6
199,Goiaba doce cascão,286,0.4,0.1,NA,78.7,4.4,15,10
202,Graviola polpa congelada,38,0.6,0.1,NA,9.8,1.2,6,10
209,Laranja baía suco,37,0.7,Tr,NA,8.7,Tr,6,8
211,Laranja da terra suco,41,0.7,0.1,NA,9.6,1.0,13,10
213,Laranja lima suco,39,0.7,0.1,NA,9.2,0.4,8,11
215,Laranja pêra suco,33,0.7,0.1,NA,7.6,Tr,7,8
217,Laranja valência suco,36,0.5,0.1,NA,8.6,0.4,9,10
218,Limão cravo suco,14,0.3,Tr,NA,5.2,Tr,10,9
219,Limão galego suco,22,0.6,0.1,NA,7.3,Tr,5,6
224,Mamão doce em calda drenado,196,0.2,0.1,NA,54.0,1.3,20,6
227,Mamão verde doce em calda drenado,209,0.3,0.1,NA,57.6,1.2,12,5
230,Manga polpa congelada,48,0.4,0.2,NA,12.5,1.1,7,9
233,Maracujá polpa congelada,39,0.8,0.2,NA,9.6,0.5,5,10
234,Maracujá suco concentrado envasado,42,0.8,0.2,NA,9.6,0.4,4,4
245,Pêssego enlatado em calda,63,0.7,Tr,NA,16.9,1.0,4,4
248,Pitanga polpa congelada,19,0.3,0.1,NA,4.8,0.7,8,6
252,Tangerina Poncã suco,36,0.5,Tr,NA,8.8,Tr,4,6
255,Umbu polpa congelada,34,0.5,0.1,NA,8.8,1.3,11,8
258,Uva suco concentrado envasado,58,Tr,Tr,NA,14.7,0.2,9,7
259,Azeite de dendê,884,NA,100.0,NA,NA,NA,,
260,Azeite de oliva extra virgem,884,NA,100.0,NA,NA,NA,,
261,Manteiga com sal,726,0.4,82.4,201,0.1,NA,9,1
262,Manteiga sem sal,758,0.4,86.0,214,0.0,NA,4,1
263,Margarina com óleo hidrogenado com sal (65% de lipídeos),596,Tr,67.4,NA,0.0,NA,6,1
264,Margarina com óleo hidrogenado sem sal (80% de lipídeos),723,Tr,81.7,NA,0.0,NA,3,1
265,Margarina com óleo interesterificado com sal (65%de lipídeos),594,Tr,67.2,NA,0.0,NA,5,1
266,Margarina com óleo interesterificado sem sal (65% de lipídeos),593,Tr,67.1,NA,0.0,NA,5,1
267,Óleo de babaçu,884,NA,100.0,NA,NA,NA,,
268,Óleo de canola,884,NA,100.0,NA,NA,NA,,
269,Óleo de girassol,884,NA,100.0,NA,NA,NA,,
270,Óleo de milho,884,NA,100.0,NA,NA,NA,,
271,Óleo de pequi,884,NA,100.0,NA,NA,NA,,
272,Óleo de soja,884,NA,100.0,NA,NA,NA,,
273,Abadejo filé congelado assado,112,23.5,1.2,103,0.0,NA,23,20
274,Abadejo filé congelado.cozido,91,19.3,0.9,87,0.0,NA,17,16
276,Abadejo filé congelado grelhado,130,27.6,1.3,136,0.0,NA,20,22
277,Atum conserva em óleo,166,26.2,6.0,53,0.0,NA,7,29
280,Bacalhau salgado refogado,140,24.0,3.6,112,1.2,*,59,15
281,Cação posta com farinha de trigo frita,208,25.0,10.0,75,3.1,0.5,30,26
282,Cação posta cozida,116,25.6,0.7,83,0.0,NA,10,21
284,Camarão Rio Grande grande cozido,90,19.0,1.0,241,0.0,NA,90,19
286,Camarão Sete Barbas sem cabeça com casca frito,231,18.4,15.6,283,2.9,NA,960,74
287,Caranguejo cozido,83,18.5,0.4,85,0.0,NA,357,52
289,Corimbatá assado,261,19.9,19.6,80,0.0,NA,22,24
290,Corimbatá cozido,239,20.1,16.9,75,0.0,NA,65,23
293,Corvina grande assada,147,26.8,3.6,117,0.0,NA,60,24
294,Corvina grande cozida,100,23.4,2.6,123,0.0,NA,69,22
295,Dourada de água doce fresca,131,18.8,5.6,52,0.0,NA,12,26
